etag,id.kind,id.videoId,kind,snippet.channelId,snippet.channelTitle,snippet.description,snippet.liveBroadcastContent,snippet.publishTime,snippet.publishedAt,snippet.thumbnails.default.height,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.high.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.medium.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.title,primary_key
Y1DjcuBcZVpaYawjSYY7si-Vx0Y,youtube#video,zRy_BkBUj8Y,youtube#searchResult,UCCdicbO4cLE4s1wbXjJSuSg,Popcorned Planet,SLAMMED! Taylor Swift EDITS VIDEO To Please Fatphobia Critics?! Excerpt from Daily Mail Taylor Swift's Anti-Hero video edited ...,none,2022-10-27T22:45:00Z,2022-10-27T22:45:00Z,90,https://i.ytimg.com/vi/zRy_BkBUj8Y/default.jpg,120,360,https://i.ytimg.com/vi/zRy_BkBUj8Y/hqdefault.jpg,480,180,https://i.ytimg.com/vi/zRy_BkBUj8Y/mqdefault.jpg,320,SLAMMED! Taylor Swift EDITS VIDEO To Please Fatphobia Critics?!,taylor swift
AQJ-dbhzYRC8Pxw-oaz5gB1Fw1g,youtube#video,cXCfIAdySg4,youtube#searchResult,UColBLS21y3-TIDVGpFzE3xA,Music Library,"Billboard top 100 This Week Adele, Maroon 5, Bilie Eilish, Taylor Swift, Sam Smith, Rihanna ▽ Follow Channel: ©Music Library ...",none,2022-10-27T15:54:54Z,2022-10-27T15:54:54Z,90,https://i.ytimg.com/vi/cXCfIAdySg4/default.jpg,120,360,https://i.ytimg.com/vi/cXCfIAdySg4/hqdefault.jpg,480,180,https://i.ytimg.com/vi/cXCfIAdySg4/mqdefault.jpg,320,"Billboard top 100 This Week 🎵 Adele,  Maroon 5, Bilie Eilish, Taylor Swift, Sam Smith, Rihanna",taylor swift
DYj1sxp4Lo_KZH-AVAis0cR4X7Y,youtube#video,bmeJb-kZnaY,youtube#searchResult,UCyQdplurcXUMv8NgO4QzryA,Julia Martins Blog,Aula particular de auto-maquiagem https://juliamartinsblog.com/aula-individual-de-maquiagem/ Faça parte dos membros ...,none,2022-10-27T12:38:20Z,2022-10-27T12:38:20Z,90,https://i.ytimg.com/vi/bmeJb-kZnaY/default.jpg,120,360,https://i.ytimg.com/vi/bmeJb-kZnaY/hqdefault.jpg,480,180,https://i.ytimg.com/vi/bmeJb-kZnaY/mqdefault.jpg,320,Maquiagem de Bejeweled Taylor Swift - tutorial de maquiagem da @Taylor Swift,taylor swift
IjL0TaMUmZF2Y717pLOyM1LaTt0,youtube#video,lvbRP9ODIsc,youtube#searchResult,UCYx0qoH2JJeAVNr-sF6f3-A,TOP US UK SONG,"Maroon 5, Shawn Mendes, Taylor Swift, Adele, Ed Sheeran, Sam Smith, Dua Lipa,Rihanna - Pop Hits 2022 ♥ Help me reach ...",none,2022-10-27T02:42:41Z,2022-10-27T02:42:41Z,90,https://i.ytimg.com/vi/lvbRP9ODIsc/default.jpg,120,360,https://i.ytimg.com/vi/lvbRP9ODIsc/hqdefault.jpg,480,180,https://i.ytimg.com/vi/lvbRP9ODIsc/mqdefault.jpg,320,"Maroon 5, Shawn Mendes, Taylor Swift, Adele, Ed Sheeran, Sam Smith, Dua Lipa,Rihanna - Pop Hits 2022",taylor swift
cTvhj4Ws72Fd7Ay4EUqelJaoDL8,youtube#video,zaeeTR-KBbU,youtube#searchResult,UCldQuUMYTUGrjvcU2vaPSFQ,Music Library,"Billboard top 100 This Week - Adele, Maroon 5, Bilie Eilish, Taylor Swift, Sam Smith, Rihanna Billboard top 100 This Week - Adele ...",none,2022-10-27T02:01:14Z,2022-10-27T02:01:14Z,90,https://i.ytimg.com/vi/zaeeTR-KBbU/default.jpg,120,360,https://i.ytimg.com/vi/zaeeTR-KBbU/hqdefault.jpg,480,180,https://i.ytimg.com/vi/zaeeTR-KBbU/mqdefault.jpg,320,"Billboard top 100 This Week -  Adele, Maroon 5, Bilie Eilish, Taylor Swift, Sam Smith, Rihanna",taylor swift
sLuq5nS11jA3_GBJh9qTm6zBno8,youtube#video,IRRgQMB1tTg,youtube#searchResult,UCe74IlqLlKH59wWPm_Qal4A,Fleeting Films,Get video updates on Instagram https://www.Instagram.com/FleetingFilms.,none,2022-10-26T18:21:08Z,2022-10-26T18:21:08Z,90,https://i.ytimg.com/vi/IRRgQMB1tTg/default.jpg,120,360,https://i.ytimg.com/vi/IRRgQMB1tTg/hqdefault.jpg,480,180,https://i.ytimg.com/vi/IRRgQMB1tTg/mqdefault.jpg,320,Taylor Swift Bejeweled Live Satisfying #FruitSurgery #DiscountDentist #AntiHero,taylor swift
pVKtoI__9dT9fVvmZvcWqT762Os,youtube#video,8d3j3vCOFcM,youtube#searchResult,UColBLS21y3-TIDVGpFzE3xA,Music Library,"Billboard top 100 This Week Adele, Maroon 5, Bilie Eilish, Taylor Swift, Sam Smith, Rihanna ▽ Follow Channel: ©Music Library ...",none,2022-10-26T16:51:52Z,2022-10-26T16:51:52Z,90,https://i.ytimg.com/vi/8d3j3vCOFcM/default.jpg,120,360,https://i.ytimg.com/vi/8d3j3vCOFcM/hqdefault.jpg,480,180,https://i.ytimg.com/vi/8d3j3vCOFcM/mqdefault.jpg,320,"Billboard top 100 This Week 🎵 Adele,  Maroon 5, Bilie Eilish, Taylor Swift, Sam Smith, Rihanna",taylor swift
AhQbzekwGfVZeGHRkYFbi2r_mJQ,youtube#video,jhofmeqKhTo,youtube#searchResult,UC-zD6Ryq6cwr-vH702QFEPA, Time Music,"Maroon 5, Ed Sheeran, Adele, Shawn Mendes, Taylor Swift, Sam Smith, Dua Lipa Pop Hits 2022 Maroon 5, Ed Sheeran, ...",none,2022-10-26T16:03:07Z,2022-10-26T16:03:07Z,90,https://i.ytimg.com/vi/jhofmeqKhTo/default.jpg,120,360,https://i.ytimg.com/vi/jhofmeqKhTo/hqdefault.jpg,480,180,https://i.ytimg.com/vi/jhofmeqKhTo/mqdefault.jpg,320,"Maroon 5, Ed Sheeran, Adele, Shawn Mendes, Taylor Swift, Sam Smith, Dua Lipa 🎧🎼 Pop Hits 2022",taylor swift
MtwvukBlIw7y3GP0jfbcdf6FTf0,youtube#video,AhIiilCwN9U,youtube#searchResult,UCLFHADTZMVkkm_qIu8zhVQA,Steel Toe Morning Show,"taylorswift #ye #lexfridman We have a very busy show where we discuss the Fetterman Oz debate, Hillary already accusing ...",none,2022-10-26T15:50:45Z,2022-10-26T15:50:45Z,90,https://i.ytimg.com/vi/AhIiilCwN9U/default.jpg,120,360,https://i.ytimg.com/vi/AhIiilCwN9U/hqdefault.jpg,480,180,https://i.ytimg.com/vi/AhIiilCwN9U/mqdefault.jpg,320,"Steel Toe Morning Show 10-26-22: Taylor Swift hates Fats, Ye V Lex, Oz V Fetterman",taylor swift
LLwq0LWGdhgOSih_Y0CLdNZcuwI,youtube#video,yKkUpF95v5I,youtube#searchResult,UCri6ZcP8djd3-rGYvcaLWMg,The Woods Report / Podcast,kanye #taylorswift #biden Please subscribe to our YouTube channel. It's free! Turn on your notification so you know when we post.,none,2022-10-26T13:12:59Z,2022-10-26T13:12:59Z,90,https://i.ytimg.com/vi/yKkUpF95v5I/default.jpg,120,360,https://i.ytimg.com/vi/yKkUpF95v5I/hqdefault.jpg,480,180,https://i.ytimg.com/vi/yKkUpF95v5I/mqdefault.jpg,320,"Ukraine, Taylor Swift, Kanye, DeSantis, Biden, Blac Chyna, etc.",taylor swift
2RyNOb9gmyfSUVJ9z5sM7bGJK30,youtube#video,WGF31YEOdcs,youtube#searchResult,UCywzjRjlcMx9fuMMSMYLobA,Fuzz Media,Noticias + cotorreo.,none,2022-10-26T12:53:57Z,2022-10-26T12:53:57Z,90,https://i.ytimg.com/vi/WGF31YEOdcs/default.jpg,120,360,https://i.ytimg.com/vi/WGF31YEOdcs/hqdefault.jpg,480,180,https://i.ytimg.com/vi/WGF31YEOdcs/mqdefault.jpg,320,TAYLOR SWIFT VS ARCTIC MONKEYS | Fuzz Newzz 25/10/22,taylor swift
ox3P-NwUaOoBjceAt_gsl4Tuao4,youtube#video,lym8hwIowTw,youtube#searchResult,UCWsnMSJhow5bZ4bUv7K1Qyw,Goldwater Rule,youtube/soundstripe code: HFIXJ4LQNDSZY2W1 links to today's articles: ...,none,2022-10-26T11:45:15Z,2022-10-26T11:45:15Z,90,https://i.ytimg.com/vi/lym8hwIowTw/default.jpg,120,360,https://i.ytimg.com/vi/lym8hwIowTw/hqdefault.jpg,480,180,https://i.ytimg.com/vi/lym8hwIowTw/mqdefault.jpg,320,"Temper Tantrums, World&#39;s Dirtiest Man, Taylor Swift and more",taylor swift
8nCTwGubI4chTBMupJ2ub9_6VeY,youtube#video,ktksvS9Isvo,youtube#searchResult,UCgQwUqvfqI3XjyUAsFD_GWw,Country New Songs,"Best Country Songs of the 90s and 2000s️️ - Taylor Swift, The Band Perry, Brooks + Dunn, Keith Urban ▻▻▻ Follow 'Country ...",none,2022-10-26T09:11:15Z,2022-10-26T09:11:15Z,90,https://i.ytimg.com/vi/ktksvS9Isvo/default.jpg,120,360,https://i.ytimg.com/vi/ktksvS9Isvo/hqdefault.jpg,480,180,https://i.ytimg.com/vi/ktksvS9Isvo/mqdefault.jpg,320,"Best Country Songs of the 90s and 2000s️️ - Taylor Swift, The Band Perry, Brooks + Dunn, Keith Urban",taylor swift
8FSlbbZJWHV3d11SjUNm_p71ynU,youtube#video,fBj4sOTE_bM,youtube#searchResult,UC3yZWLvATOCJa0iV0hIYtGQ,GSO_sam,i dont take no prisoners.,none,2022-10-26T08:37:13Z,2022-10-26T08:37:13Z,90,https://i.ytimg.com/vi/fBj4sOTE_bM/default.jpg,120,360,https://i.ytimg.com/vi/fBj4sOTE_bM/hqdefault.jpg,480,180,https://i.ytimg.com/vi/fBj4sOTE_bM/mqdefault.jpg,320,taylor swift reaction of reactions,taylor swift
JkvA58CPl9cnZ-wB6YSdJbDr3ks,youtube#video,-wykjzoUWuM,youtube#searchResult,UCcn-di_4YFQT0Ode0tR5TNw,Best Songs Collection,"Billboard Hot 100 This Week AVA MAX, Taylor Swift, Dua Lipa, Camila Cabello, Sam Smith, DNCE Tracklist: 01. Charlie Puth ...",none,2022-10-26T02:05:59Z,2022-10-26T02:05:59Z,90,https://i.ytimg.com/vi/-wykjzoUWuM/default.jpg,120,360,https://i.ytimg.com/vi/-wykjzoUWuM/hqdefault.jpg,480,180,https://i.ytimg.com/vi/-wykjzoUWuM/mqdefault.jpg,320,"Billboard Hot 100 This Week 🧊 AVA MAX, Taylor Swift, Dua Lipa, Camila Cabello, Sam Smith, DNCE",taylor swift
GtC2COuU8sdUq_gKEUqvFIJPewE,youtube#video,AV9piPFaT1g,youtube#searchResult,UC1aX7gNPb3uUTI-z50EC43g,Time Music,"Maroon 5,Adele,Katy Perry,SIA, Taylor Swift, Bruno Mars Billboard Top 100 This Week **Thanks Fan's Time Music for timing ...",none,2022-10-25T20:47:07Z,2022-10-25T20:47:07Z,90,https://i.ytimg.com/vi/AV9piPFaT1g/default.jpg,120,360,https://i.ytimg.com/vi/AV9piPFaT1g/hqdefault.jpg,480,180,https://i.ytimg.com/vi/AV9piPFaT1g/mqdefault.jpg,320,"Maroon 5,Adele,Katy Perry,SIA, Taylor Swift, Bruno Mars 🩰 Billboard Top 100 This Week",taylor swift
wuCq-F5iV4qE2Or3rMpr_9dAdpc,youtube#video,VNOACqTbaLw,youtube#searchResult,UCdFnTDU7xNYqaB0uoW6zsFQ,Malicia en El País de las Maravillas,HBOmax #Halloween #Belascoaran.,none,2022-10-25T03:48:00Z,2022-10-25T03:48:00Z,90,https://i.ytimg.com/vi/VNOACqTbaLw/default.jpg,120,360,https://i.ytimg.com/vi/VNOACqTbaLw/hqdefault.jpg,480,180,https://i.ytimg.com/vi/VNOACqTbaLw/mqdefault.jpg,320,HENRY CAVILL TAYLOR SWIFT QUANTUMANIA PABLO RUIZ HOUSE OF DRAGON FINAL Y MÁS,taylor swift
